intnr;int_jahr;int_mon;mobil;az;nt;zpalter;Stib;lguelt;x1216;y1216;Bula;gkpol;BIK10;des2018;gew2018;gew2018_hr17;S1;S2_m;S2_j
1861638;2018;1;0;50;1;59;3;2;12000;1;5;4;9;0.572;0.656;1227.1027431541077;1;2;1958
1862668;2018;1;0;45;0;28;3;1;NA;NA;5;4;4;0.296;0.944;1765.8307767339595;2;11;1989
1866839;2018;1;0;36;0;55;3;1;NA;NA;6;7;10;0.364;0.261;488.22228043174096;2;1;1963
1869357;2018;1;0;20;0;59;1;NA;NA;NA;6;3;3;0.728;2.371;4435.153359784129;2;11;1958
1874251;2018;3;0;42;0;61;2;2;12000;1;8;4;8;0.534;0.389;727.6569620227864;2;4;1956
1876432;2017;12;0;32;0;64;2;1;21000;0;8;6;8;0.296;0.215;402.175441734959;2;1;1953
1876552;2017;12;0;33;0;41;2;1;12000;1;8;3;7;0.534;0.83;1552.5842634419348;2;2;1976
1877851;2017;12;0;40;0;62;2;2;12000;1;8;2;5;0.534;0.69;1290.7025804517289;1;1;1955
1880708;2017;12;0;15;0;42;2;1;NA;NA;9;7;10;0.534;0.408;763.1980475714571;2;12;1975
1884714;2018;1;0;40;0;50;1;1;NA;NA;9;1;9;0.534;1.106;2068.8652956226265;1;5;1967
1888439;2017;12;0;65;0;62;2;3;12300;1;13;2;5;0.445;0.422;789.3862158704777;1;11;1955
1892615;2018;1;0;40;0;43;2;1;NA;NA;16;6;8;1.145;1.055;1973.465539676194;2;9;1974
1893188;2018;1;0;50;0;43;4;2;12000;1;16;3;4;0.728;1.482;2772.2046727963225;1;12;1974
1893814;2018;1;0;40;0;36;2;1;NA;NA;11;7;10;1.145;0.585;1094.2913182090745;1;6;1981
1896721;2018;1;0;40;0;41;3;3;12300;1;1;5;8;0.728;0.729;1363.6553349990006;1;7;1976
1903001;2018;1;0;25;0;61;2;1;NA;NA;3;3;4;1;1.502;2809.6163417949233;2;10;1956
